English Name,Translated Name
Illumise,Illumise
Roselia,Roselia
Gulpin,Gulpin
Swalot,Swalot
Carvanha,Carvanha
Sharpedo,Sharpedo
Wailmer,Wailmer
Wailord,Wailord
Numel,Numel
Camerupt,Camerupt
Torkoal,Torkoal
Spoink,Spoink
Grumpig,Grumpig
Spinda,Spinda
Trapinch,Trapinch
Vibrava,Vibrava
Flygon,Flygon
Cacnea,Cacnea
Cacturne,Cacturne
Swablu,Swablu
Altaria,Altaria
Zangoose,Zangoose
Seviper,Seviper
Lunatone,Lunatone
Solrock,Solrock
Barboach,Barboach
Whiscash,Whiscash
Corphish,Corphish
Crawdaunt,Crawdaunt
Baltoy,Baltoy
Claydol,Claydol
Lileep,Lileep
Cradily,Cradily
Anorith,Anorith
Armaldo,Armaldo
Feebas,Feebas
Milotic,Milotic
Castform,Castform
Kecleon,Kecleon
Shuppet,Shuppet
Banette,Banette
Duskull,Duskull
Dusclops,Dusclops
Tropius,Tropius
Chimecho,Chimecho
Absol,Absol
Wynaut,Wynaut
Snorunt,Snorunt
Glalie,Glalie
Spheal,Spheal
Sealeo,Sealeo
Walrein,Walrein
Clamperl,Clamperl
Huntail,Huntail
Gorebyss,Gorebyss
Relicanth,Relicanth
Luvdisc,Luvdisc
Bagon,Bagon
Shelgon,Shelgon
Salamence,Salamence
Beldum,Beldum
Metang,Metang
Metagross,Metagross
Regirock,Regirock
Regice,Regice
Registeel,Registeel
Latias,Latias
Latios,Latios
Kyogre,Kyogre
Groudon,Groudon
Rayquaza,Rayquaza
Jirachi,Jirachi
Deoxys,Deoxys
Turtwig,Turtwig
Grotle,Grotle
Torterra,Torterra
Chimchar,Chimchar
Monferno,Monferno
Infernape,Infernape
Piplup,Piplup
Prinplup,Prinplup
Empoleon,Empoleon
Starly,Starly
Staravia,Staravia
Staraptor,Staraptor
Bidoof,Bidoof
Bibarel,Bibarel
Kricketot,Kricketot
Kricketune,Kricketune
Shinx,Shinx
Luxio,Luxio
Luxray,Luxray
Budew,Budew
Roserade,Roserade
Cranidos,Cranidos
Rampardos,Rampardos
Shieldon,Shieldon
Bastiodon,Bastiodon
Burmy,Burmy
Wormadam-Plant,Wormadam-Plant
Mothim,Mothim
Combee,Combee
Vespiquen,Vespiquen
Pachirisu,Pachirisu
Buizel,Buizel
Floatzel,Floatzel
Cherubi,Cherubi
Cherrim,Cherrim
Shellos,Shellos
Gastrodon,Gastrodon
Ambipom,Ambipom
Drifloon,Drifloon
Drifblim,Drifblim
Buneary,Buneary
Lopunny,Lopunny
Mismagius,Mismagius
Honchkrow,Honchkrow
Glameow,Glameow
Purugly,Purugly
Chingling,Chingling
Stunky,Stunky
Skuntank,Skuntank
Bronzor,Bronzor
Bronzong,Bronzong
Bonsly,Bonsly
Mime Jr.,Mime Jr.
Happiny,Happiny
Chatot,Chatot
Spiritomb,Spiritomb
Gible,Gible
Gabite,Gabite
Garchomp,Garchomp
Munchlax,Munchlax
Riolu,Riolu
Lucario,Lucario
Hippopotas,Hippopotas
Hippowdon,Hippowdon
Skorupi,Skorupi
Drapion,Drapion
Croagunk,Croagunk
Toxicroak,Toxicroak
Carnivine,Carnivine
Finneon,Finneon
Lumineon,Lumineon
Mantyke,Mantyke
Snover,Snover
Abomasnow,Abomasnow
Weavile,Weavile
Magnezone,Magnezone
Lickilicky,Lickilicky
Rhyperior,Rhyperior
Tangrowth,Tangrowth
Electivire,Electivire
Magmortar,Magmortar
Togekiss,Togekiss
Yanmega,Yanmega
Leafeon,Leafeon
Glaceon,Glaceon
Gliscor,Gliscor
Mamoswine,Mamoswine
Porygon-Z,Porygon-Z
Gallade,Gallade
Probopass,Probopass
Dusknoir,Dusknoir
Froslass,Froslass
Rotom,Rotom
Uxie,Uxie
Mesprit,Mesprit
Azelf,Azelf
Dialga,Dialga
Palkia,Palkia
Heatran,Heatran
Regigigas,Regigigas
Giratina,Giratina
Cresselia,Cresselia
Phione,Phione
Manaphy,Manaphy
Darkrai,Darkrai
Shaymin-Land,Shaymin-Land
Arceus,Arceus
Victini,Victini
Snivy,Snivy
Servine,Servine
Serperior,Serperior
Tepig,Tepig
Pignite,Pignite
Emboar,Emboar
Oshawott,Oshawott
Dewott,Dewott
Samurott,Samurott
Patrat,Patrat
Watchog,Watchog
Lillipup,Lillipup
Herdier,Herdier
Stoutland,Stoutland
Purrloin,Purrloin
Liepard,Liepard
Pansage,Pansage
Simisage,Simisage
Pansear,Pansear
Simisear,Simisear
Panpour,Panpour
Simipour,Simipour
Munna,Munna
Musharna,Musharna
Pidove,Pidove
Tranquill,Tranquill
Unfezant,Unfezant
Blitzle,Blitzle
Zebstrika,Zebstrika
Roggenrola,Roggenrola
Boldore,Boldore
Gigalith,Gigalith
Woobat,Woobat
Swoobat,Swoobat
Drilbur,Drilbur
Excadrill,Excadrill
Audino,Audino
Timburr,Timburr
Gurdurr,Gurdurr
Conkeldurr,Conkeldurr
Tympole,Tympole
Palpitoad,Palpitoad
Seismitoad,Seismitoad
Throh,Throh
Sawk,Sawk
Sewaddle,Sewaddle
Swadloon,Swadloon
Leavanny,Leavanny
Venipede,Venipede
Whirlipede,Whirlipede
Scolipede,Scolipede
Cottonee,Cottonee
Whimsicott,Whimsicott
Petilil,Petilil
Lilligant,Lilligant
Basculin,Basculin
Sandile,Sandile
Krokorok,Krokorok
Krookodile,Krookodile
Darumaka,Darumaka
Darmanitan,Darmanitan
Maractus,Maractus
Dwebble,Dwebble
Crustle,Crustle
Scraggy,Scraggy
Scrafty,Scrafty
Sigilyph,Sigilyph
Yamask,Yamask
Cofagrigus,Cofagrigus
Tirtouga,Tirtouga
Carracosta,Carracosta
Archen,Archen
Archeops,Archeops
Trubbish,Trubbish
Garbodor,Garbodor
Zorua,Zorua
Zoroark,Zoroark
Minccino,Minccino
Cinccino,Cinccino
Gothita,Gothita
Gothorita,Gothorita
Gothitelle,Gothitelle
Solosis,Solosis
Duosion,Duosion
Reuniclus,Reuniclus
Ducklett,Ducklett
Swanna,Swanna
Vanillite,Vanillite
Vanillish,Vanillish
Vanilluxe,Vanilluxe
Deerling,Deerling
Sawsbuck,Sawsbuck
Emolga,Emolga
Karrablast,Karrablast
Escavalier,Escavalier
Foongus,Foongus
Amoonguss,Amoonguss
Frillish,Frillish
Jellicent,Jellicent
Alomomola,Alomomola
Joltik,Joltik
Galvantula,Galvantula
Ferroseed,Ferroseed
Ferrothorn,Ferrothorn
Klink,Klink
Klang,Klang
Klinklang,Klinklang
Tynamo,Tynamo
Eelektrik,Eelektrik
Eelektross,Eelektross
Elgyem,Elgyem
Beheeyem,Beheeyem
Litwick,Litwick
Lampent,Lampent
Chandelure,Chandelure
Axew,Axew
Fraxure,Fraxure
Haxorus,Haxorus
Cubchoo,Cubchoo
Beartic,Beartic
Cryogonal,Cryogonal
Shelmet,Shelmet
Accelgor,Accelgor
Stunfisk,Stunfisk
Mienfoo,Mienfoo
Mienshao,Mienshao
Druddigon,Druddigon
Golett,Golett
Golurk,Golurk
Pawniard,Pawniard
Bisharp,Bisharp
Bouffalant,Bouffalant
Rufflet,Rufflet
Braviary,Braviary
Vullaby,Vullaby
Mandibuzz,Mandibuzz
Heatmor,Heatmor
Durant,Durant
Deino,Deino
Zweilous,Zweilous
Hydreigon,Hydreigon
Larvesta,Larvesta
Volcarona,Volcarona
Cobalion,Cobalion
Terrakion,Terrakion
Virizion,Virizion
Tornadus,Tornadus
Thundurus,Thundurus
Reshiram,Reshiram
Zekrom,Zekrom
Landorus,Landorus
Kyurem,Kyurem
Keldeo,Keldeo
Meloetta-Aria,Meloetta-Aria
Genesect,Genesect
Chespin,Chespin
Quilladin,Quilladin
Chesnaught,Chesnaught
Fennekin,Fennekin
Braixen,Braixen
Delphox,Delphox
Froakie,Froakie
Frogadier,Frogadier
Greninja,Greninja
Bunnelby,Bunnelby
Diggersby,Diggersby
Fletchling,Fletchling
Fletchinder,Fletchinder
Talonflame,Talonflame
Scatterbug,Scatterbug
Spewpa,Spewpa
Vivillon,Vivillon
Litleo,Litleo
Pyroar,Pyroar
Flabebe,Flabebe
Floette,Floette
Florges,Florges
Skiddo,Skiddo
Gogoat,Gogoat
Pancham,Pancham
Pangoro,Pangoro
Furfrou,Furfrou
Espurr,Espurr
Meowstic,Meowstic
Honedge,Honedge
Doublade,Doublade
Aegislash-Shield,Aegislash-Shield
Spritzee,Spritzee
Aromatisse,Aromatisse
Swirlix,Swirlix
Slurpuff,Slurpuff
Inkay,Inkay
Malamar,Malamar
Binacle,Binacle
Barbaracle,Barbaracle
Skrelp,Skrelp
Dragalge,Dragalge
Clauncher,Clauncher
Clawitzer,Clawitzer
Helioptile,Helioptile
Heliolisk,Heliolisk
Tyrunt,Tyrunt
Tyrantrum,Tyrantrum
Amaura,Amaura
Aurorus,Aurorus
Sylveon,Sylveon
Hawlucha,Hawlucha
Dedenne,Dedenne
Carbink,Carbink
Goomy,Goomy
Sliggoo,Sliggoo
Goodra,Goodra
Klefki,Klefki
Phantump,Phantump
Trevenant,Trevenant
Pumpkaboo,Pumpkaboo
Gourgeist,Gourgeist
Bergmite,Bergmite
Avalugg,Avalugg
Noibat,Noibat
Noivern,Noivern
Xerneas,Xerneas
Yveltal,Yveltal
Zygarde,Zygarde
Diancie,Diancie
Hoopa,Hoopa
Volcanion,Volcanion
Rowlet,Rowlet
Dartrix,Dartrix
Decidueye,Decidueye
Litten,Litten
Torracat,Torracat
Incineroar,Incineroar
Popplio,Popplio
Brionne,Brionne
Primarina,Primarina
Pikipek,Pikipek
Trumbeak,Trumbeak
Toucannon,Toucannon
Yungoos,Yungoos
Gumshoos,Gumshoos
Grubbin,Grubbin
Charjabug,Charjabug
Vikavolt,Vikavolt
Crabrawler,Crabrawler
Crabominable,Crabominable
Oricorio,Oricorio
Cutiefly,Cutiefly
Ribombee,Ribombee
Rockruff,Rockruff
Lycanroc-Midday,Lycanroc-Midday
Wishiwashi,Wishiwashi
Mareanie,Mareanie
Toxapex,Toxapex
Mudbray,Mudbray
Mudsdale,Mudsdale
Dewpider,Dewpider
Araquanid,Araquanid
Fomantis,Fomantis
Lurantis,Lurantis
Morelull,Morelull
Shiinotic,Shiinotic
Salandit,Salandit
Salazzle,Salazzle
Stufful,Stufful
Bewear,Bewear
Bounsweet,Bounsweet
Steenee,Steenee
Tsareena,Tsareena
Comfey,Comfey
Oranguru,Oranguru
Passimian,Passimian
Wimpod,Wimpod
Golisopod,Golisopod
Sandygast,Sandygast
Palossand,Palossand
Pyukumuku,Pyukumuku
Type: Null,Type: Null
Silvally,Silvally
Minior,Minior
Komala,Komala
Turtonator,Turtonator
Togedemaru,Togedemaru
Mimikyu,Mimikyu
Bruxish,Bruxish
Drampa,Drampa
Dhelmise,Dhelmise
Jangmo-o,Jangmo-o
Hakamo-o,Hakamo-o
Kommo-o,Kommo-o
Tapu Koko,Tapu Koko
Tapu Lele,Tapu Lele
Tapu Bulu,Tapu Bulu
Tapu Fini,Tapu Fini
Cosmog,Cosmog
Cosmoem,Cosmoem
Solgaleo,Solgaleo
Lunala,Lunala
Nihilego,Nihilego
Buzzwole,Buzzwole
Pheromosa,Pheromosa
Xurkitree,Xurkitree
Celesteela,Celesteela
Kartana,Kartana
Guzzlord,Guzzlord
Necrozma,Necrozma
Magearna,Magearna
Marshadow,Marshadow
Venusaur-Mega,Venusaur-Mega
Charizard-MegaX,Charizard-MegaX
Charizard-MegaY,Charizard-MegaY
Blastoise-Mega,Blastoise-Mega
Beedrill-Mega,Beedrill-Mega
Pidgeot-Mega,Pidgeot-Mega
Rattata-Alola,Rattata-Alola
Raticate-Alola,Raticate-Alola
Raichu-Alola,Raichu-Alola
Sandshrew-Alola,Sandshrew-Alola
Sandslash-Alola,Sandslash-Alola
Vulpix-Alola,Vulpix-Alola
Ninetales-Alola,Ninetales-Alola
Diglett-Alola,Diglett-Alola
Dugtrio-Alola,Dugtrio-Alola
Meowth-Alola,Meowth-Alola
Persian-Alola,Persian-Alola
Alakazam-Mega,Alakazam-Mega
Geodude-Alola,Geodude-Alola
Graveler-Alola,Graveler-Alola
Golem-Alola,Golem-Alola
Slowbro-Mega,Slowbro-Mega
Grimer-Alola,Grimer-Alola
Muk-Alola,Muk-Alola
Gengar-Mega,Gengar-Mega
Exeggutor-Alola,Exeggutor-Alola
Marowak-Alola,Marowak-Alola
Kangaskhan-Mega,Kangaskhan-Mega
Pinsir-Mega,Pinsir-Mega
Gyarados-Mega,Gyarados-Mega
Aerodactyl-Mega,Aerodactyl-Mega
Mewtwo-MegaX,Mewtwo-MegaX
Mewtwo-MegaY,Mewtwo-MegaY
Ampharos-Mega,Ampharos-Mega
Steelix-Mega,Steelix-Mega
Scizor-Mega,Scizor-Mega
Heracross-Mega,Heracross-Mega
Houndoom-Mega,Houndoom-Mega
Tyranitar-Mega,Tyranitar-Mega
Sceptile-Mega,Sceptile-Mega
Blaziken-Mega,Blaziken-Mega
Swampert-Mega,Swampert-Mega
Gardevoir-Mega,Gardevoir-Mega
Sableye-Mega,Sableye-Mega
Mawile-Mega,Mawile-Mega
Aggron-Mega,Aggron-Mega
Medicham-Mega,Medicham-Mega
Manectric-Mega,Manectric-Mega
Sharpedo-Mega,Sharpedo-Mega
Camerupt-Mega,Camerupt-Mega
Altaria-Mega,Altaria-Mega
Castform-Sunny,Castform-Sunny
Castform-Rainy,Castform-Rainy
Castform-Snowy,Castform-Snowy
Banette-Mega,Banette-Mega
Absol-Mega,Absol-Mega
Glalie-Mega,Glalie-Mega
Salamence-Mega,Salamence-Mega
Metagross-Mega,Metagross-Mega
Latias-Mega,Latias-Mega
Latios-Mega,Latios-Mega
Kyogre-Primal,Kyogre-Primal
Groudon-Primal,Groudon-Primal
Rayquaza-Mega,Rayquaza-Mega
Deoxys-Attack,Deoxys-Attack
Deoxys-Defense,Deoxys-Defense
Deoxys-Speed,Deoxys-Speed
Burmy-Sandy,Burmy-Sandy
Burmy-Trash,Burmy-Trash
Wormadam-Sandy,Wormadam-Sandy
Wormadam-Trash,Wormadam-Trash
Cherrim-Sunshine,Cherrim-Sunshine
Shellos-East,Shellos-East
Gastrodon-East,Gastrodon-East
Lopunny-Mega,Lopunny-Mega
Garchomp-Mega,Garchomp-Mega
Lucario-Mega,Lucario-Mega
Abomasnow-Mega,Abomasnow-Mega
Gallade-Mega,Gallade-Mega
Rotom-Heat,Rotom-Heat
Rotom-Wash,Rotom-Wash
Rotom-Frost,Rotom-Frost
Rotom-Fan,Rotom-Fan
Rotom-Mow,Rotom-Mow
Giratina-Origin,Giratina-Origin
Shaymin-Sky,Shaymin-Sky
Arceus-Fighting,Arceus-Fighting
Arceus-Flying,Arceus-Flying
Arceus-Poison,Arceus-Poison
Arceus-Ground,Arceus-Ground
Arceus-Rock,Arceus-Rock
Arceus-Bug,Arceus-Bug
Arceus-Ghost,Arceus-Ghost
Arceus-Steel,Arceus-Steel
Arceus-Fire,Arceus-Fire
Arceus-Water,Arceus-Water
Arceus-Grass,Arceus-Grass
Arceus-Electric,Arceus-Electric
Arceus-Psychic,Arceus-Psychic
Arceus-Ice,Arceus-Ice
Arceus-Dragon,Arceus-Dragon
Arceus-Dark,Arceus-Dark
Arceus-Fairy,Arceus-Fairy
Audino-Mega,Audino-Mega
Basculin-Blue,Basculin-Blue
Darmanitan-Zen,Darmanitan-Zen
Deerling-Summer,Deerling-Summer
Deerling-Autumn,Deerling-Autumn
Deerling-Winter,Deerling-Winter
Sawsbuck-Summer,Sawsbuck-Summer
Sawsbuck-Autumn,Sawsbuck-Autumn
Sawsbuck-Winter,Sawsbuck-Winter
Tornadus-Therian,Tornadus-Therian
Thundurus-Therian,Thundurus-Therian
Landorus-Therian,Landorus-Therian
Kyurem-White,Kyurem-White
Kyurem-Black,Kyurem-Black
Keldeo-Resolute,Keldeo-Resolute
Meloetta-Pirouette,Meloetta-Pirouette
Genesect-Burn,Genesect-Burn
Genesect-Chill,Genesect-Chill
Genesect-Douse,Genesect-Douse
Genesect-Shock,Genesect-Shock
Greninja-Ash,Greninja-Ash
Vivillon-Fancy,Vivillon-Fancy
Vivillon-Pokeball,Vivillon-Pokeball
Flabebe-Blue,Flabebe-Blue
Flabebe-Orange,Flabebe-Orange
Flabebe-White,Flabebe-White
Flabebe-Yellow,Flabebe-Yellow
Floette-Blue,Floette-Blue
Floette-Orange,Floette-Orange
Floette-White,Floette-White
Floette-Yellow,Floette-Yellow
Floette-Eternal,Floette-Eternal
Florges-Blue,Florges-Blue
Florges-Orange,Florges-Orange
Florges-White,Florges-White
Florges-Yellow,Florges-Yellow
Furfrou-Heart,Furfrou-Heart
Furfrou-Star,Furfrou-Star
Furfrou-Diamond,Furfrou-Diamond
Furfrou-Debutante,Furfrou-Debutante
Furfrou-Matron,Furfrou-Matron
Furfrou-Dandy,Furfrou-Dandy
Furfrou-La Reine,Furfrou-La Reine
Furfrou-Kabuki,Furfrou-Kabuki
Furfrou-Pharaoh,Furfrou-Pharaoh
Meowstic-F,Meowstic-F
Aegislash-Blade,Aegislash-Blade
Pumpkaboo-Small,Pumpkaboo-Small
Pumpkaboo-Large,Pumpkaboo-Large
Pumpkaboo-Super,Pumpkaboo-Super
Gourgeist-Small,Gourgeist-Small
Gourgeist-Large,Gourgeist-Large
Gourgeist-Super,Gourgeist-Super
Zygarde-10,Zygarde-10
Zygarde-Complete,Zygarde-Complete
Diancie-Mega,Diancie-Mega
Hoopa-Unbound,Hoopa-Unbound
Oricorio-PomPom,Oricorio-PomPom
Oricorio-Pau,Oricorio-Pau
Oricorio-Sensu,Oricorio-Sensu
Lycanroc-Midnight,Lycanroc-Midnight
Wishiwashi-School,Wishiwashi-School
Silvally-Fighting,Silvally-Fighting
Silvally-Flying,Silvally-Flying
Silvally-Poison,Silvally-Poison
Silvally-Ground,Silvally-Ground
Silvally-Rock,Silvally-Rock
Silvally-Bug,Silvally-Bug
Silvally-Ghost,Silvally-Ghost
Silvally-Steel,Silvally-Steel
Silvally-Fire,Silvally-Fire
Silvally-Water,Silvally-Water
Silvally-Grass,Silvally-Grass
Silvally-Electric,Silvally-Electric
Silvally-Psychic,Silvally-Psychic
Silvally-Ice,Silvally-Ice
Silvally-Dragon,Silvally-Dragon
Silvally-Dark,Silvally-Dark
Silvally-Fairy,Silvally-Fairy
Minior-Meteor,Minior-Meteor
Minior-Blue,Minior-Blue
Minior-Green,Minior-Green
Minior-Indigo,Minior-Indigo
Minior-Orange,Minior-Orange
Minior-Violet,Minior-Violet
Minior-Yellow,Minior-Yellow
Mimikyu-Busted,Mimikyu-Busted
Magearna-Original,Magearna-Original
Charizard-Gmax,Charizard-Gmax
Butterfree-Gmax,Butterfree-Gmax
Raticate-Alola-Totem,Raticate-Alola-Totem
Pikachu-Cosplay,Pikachu-Cosplay
Pikachu-Rock-Star,Pikachu-Rock-Star
Pikachu-Belle,Pikachu-Belle
Pikachu-Pop-Star,Pikachu-Pop-Star
Pikachu-PhD,Pikachu-PhD
Pikachu-Libre,Pikachu-Libre
Pikachu-Original,Pikachu-Original
Pikachu-Hoenn,Pikachu-Hoenn
Pikachu-Sinnoh,Pikachu-Sinnoh
Pikachu-Unova,Pikachu-Unova
Pikachu-Kalos,Pikachu-Kalos
Pikachu-Alola,Pikachu-Alola
Pikachu-Partner,Pikachu-Partner
Pikachu-Starter,Pikachu-Starter
Pikachu-Gmax,Pikachu-Gmax
Meowth-Galar,Meowth-Galar
Meowth-Gmax,Meowth-Gmax
Machamp-Gmax,Machamp-Gmax
Ponyta-Galar,Ponyta-Galar
Rapidash-Galar,Rapidash-Galar
Farfetch'd-Galar,Farfetch'd-Galar
Gengar-Gmax,Gengar-Gmax
Kingler-Gmax,Kingler-Gmax
Marowak-Alola-Totem,Marowak-Alola-Totem
Weezing-Galar,Weezing-Galar
Mr. Mime-Galar,Mr. Mime-Galar
Lapras-Gmax,Lapras-Gmax
Eevee-Starter,Eevee-Starter
Eevee-Gmax,Eevee-Gmax
Snorlax-Gmax,Snorlax-Gmax
Pichu-Spiky-eared,Pichu-Spiky-eared
Corsola-Galar,Corsola-Galar
Zigzagoon-Galar,Zigzagoon-Galar
Linoone-Galar,Linoone-Galar
Darumaka-Galar,Darumaka-Galar
Darmanitan-Galar,Darmanitan-Galar
Darmanitan-Galar-Zen,Darmanitan-Galar-Zen
Yamask-Galar,Yamask-Galar
Garbodor-Gmax,Garbodor-Gmax
Stunfisk-Galar,Stunfisk-Galar
Gumshoos-Totem,Gumshoos-Totem
Vikavolt-Totem,Vikavolt-Totem
Ribombee-Totem,Ribombee-Totem
Lycanroc-Dusk,Lycanroc-Dusk
Araquanid-Totem,Araquanid-Totem
Lurantis-Totem,Lurantis-Totem
