English Name,Translated Name,Description
Lustrous Orb,Lustrous Orb,Increases the power of Dragon and Water-type moves when held by Palkia.
Luxury Ball,Luxury Ball,A comfortable Poke Ball that makes a caught wild Pokemon quickly grow friendly.
Macho Brace,Macho Brace,An item to be held by a Pokemon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.
Magmarizer,Magmarizer,A box packed with a tremendous amount of magma energy. It is loved by a certain Pokemon.
Magnet,Magnet,Increases the power of Electric-type moves.
Mago Berry,Mago Berry,Restores HP if it's low, but may cause confusion.
Magost Berry,Magost Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Manectite,Manectite,Enables Manectric to Mega Evolve during battle.
Master Ball,Master Ball,The best Ball with the ultimate level of performance. It will catch any wild Pokemon without fail.
Mawilite,Mawilite,Enables Mawile to Mega Evolve during battle.
Max Elixir,Max Elixir,It fully restores the PP of all the moves learned by the targeted Pokemon.
Max Ether,Max Ether,It fully restores the PP of a single selected move that has been learned by the target Pokemon.
Max Potion,Max Potion,A spray-type medicine for wounds. It completely restores the HP of a single Pokemon.
Max Repel,Max Repel,An item that prevents weak wild Pokemon from appearing for 250 steps after its use.
Max Revive,Max Revive,A medicine that revives a fainted Pokemon. It fully restores the Pokemon's HP.
Meadow Plate,Meadow Plate,Increases power of Grass-type moves. Changes Arceus' type to Grass.
Medal Box,Medal Box,A box-shaped machine that stores Medals and Medal information.
Medichamite,Medichamite,Enables Medicham to Mega Evolve during battle.
Mental Herb,Mental Herb,An item to be held by a Pokemon. It snaps the holder out of infatuation. It can be used only once.
Metal Coat,Metal Coat,Increases the power of Steel-type moves.
Metal Powder,Metal Powder,Increases Defense when held by Ditto.
Metronome,Metronome,Increases the power of moves used consecutively.
Mewtwonite X,Mewtwonite X,Enables Mewtwo to Mega Evolve during battle.
Mewtwonite Y,Mewtwonite Y,Enables Mewtwo to Mega Evolve during battle.
Micle Berry,Micle Berry,Increases a move's accuracy when HP is low.
Mind Plate,Mind Plate,Increases power of Psychic-type moves. Changes Arceus' type to Psychic.
Miracle Seed,Miracle Seed,Increases the power of Grass-type moves.
Moomoo Milk,Moomoo Milk,Milk with a very high nutrition content. It restores the HP of one Pokemon by 100 points.
Moon Ball,Moon Ball,A Poke Ball for catching Pokemon that evolve using the Moon Stone.
Moon Stone,Moon Stone,A peculiar stone that makes certain species of Pokemon evolve. It is as black as the night sky.
Muscle Band,Muscle Band,Increases the power of Physical-category moves.
Muscle Wing,Muscle Wing,Increases Attack EVs by 1.
Mystic Water,Mystic Water,Increases the power of Water-type moves.
Nanab Berry,Nanab Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Nest Ball,Nest Ball,A somewhat different Poke Ball that works especially well on weaker Pokemon in the wild.
Net Ball,Net Ball,A somewhat different Poke Ball that works especially well on Water- and Bug-type Pokemon.
Never-Melt Ice,Never-Melt Ice,Increases the power of Ice-type moves.
Nomel Berry,Nomel Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Normal Gem,Normal Gem,Increases the power of a Normal-type move only once.
Nugget,Nugget,A nugget of pure gold that gives off a lustrous gleam. It can be sold at a high price to shops.
Occa Berry,Occa Berry,Weakens a supereffective Fire-type attack against the holding Pokemon.
Odd Incense,Odd Incense,Increases the power of Psychic-type moves.
Odd Keystone,Odd Keystone,A vital item that is needed to keep a stone tower from collapsing. Voices can be heard from it occasionally.
Old Amber,Old Amber,A piece of amber that contains the genetic material of an ancient Pokemon. It is clear with a reddish tint.
Old Gateau,Old Gateau,Old Chateau's hidden specialty. It heals all the status problems of a single Pokemon.
Oran Berry,Oran Berry,If held by a Pokemon, it heals the user by just 10 HP.
Oval Charm,Oval Charm,An oval charm said to increase the chance of Pokemon Eggs being found at the Day Care.
Oval Stone,Oval Stone,A peculiar stone that makes certain species of Pokemon evolve. It is shaped like an egg.
Pamtre Berry,Pamtre Berry,A Berry which is very rare. It has a sweet-smelling aroma that can put agitated people and Pokemon to sleep.
Park Ball,Park Ball,A special Poke Ball for the Pal Park.
Paralyze Heal,Paralyze Heal,A spray-type medicine. It eliminates paralysis from a single Pokemon.
Pass Orb,Pass Orb,A mysterious orb containing the power of the Unova region, to be used when generating Pass Power.
Passho Berry,Passho Berry,Weakens a supereffective Water-type attack against the holding Pokemon.
Payapa Berry,Payapa Berry,Weakens a supereffective Psychic-type attack against the holding Pokemon.
Pearl,Pearl,A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.
Pearl String,Pearl String,Very large pearls that sparkle in a pretty silver color. A maniac will buy them for a high price.
Pecha Berry,Pecha Berry,If held by a Pokemon, it recovers from poison.
Permit,Permit,A permit that is needed to enter the Nature Preserve. Not many know about it.
Persim Berry,Persim Berry,If held by a Pokemon, it recovers from confusion.
Petaya Berry,Petaya Berry,Raises Special Attack when HP is low.
Pinap Berry,Pinap Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Pink Scarf,Pink Scarf,Raises holder's Cute aspect in a Contest.
Pinsirite,Pinsirite,Enables Pinsir to Mega Evolve during battle.
Pixie Plate,Pixie Plate,Increases power of Fairy-type moves. Changes Arceus' type to Fairy.
Plasma Card,Plasma Card,A card key needed to enter the password inside the Plasma Frigate.
Plume Fossil,Plume Fossil,A fossil of an ancient Pokemon that flew in the sky in ancient times. It appears to be part of its wing.
Pnk Apricorn,Pnk Apricorn,A pink Apricorn. It has a nice, sweet scent.
Poison Barb,Poison Barb,Increases the power of Poison-type moves.
Poison Gem,Poison Gem,Increases the power of a Poison-type move only once.
Poke Ball,Poke Ball,A device for catching wild Pokemon. It is thrown like a ball at the target. It is designed as a capsule system.
Poke Doll,Poke Doll,A doll that attracts Pokemon. Use it to flee from any battle with a wild Pokemon.
Poke Toy,Poke Toy,An item that attracts Pokemon. Use it to flee from any battle with a wild Pokemon.
Pomeg Berry,Pomeg Berry,Using it on a Pokemon makes it more friendly, but it also lowers its base HP.
Potion,Potion,A spray-type medicine for wounds. It restores the HP of one Pokemon by just 20 points.
Power Anklet,Power Anklet,A Pokemon held item that promotes Speed gain on leveling, but reduces the Speed stat.
Power Band,Power Band,A Pokemon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.
Power Belt,Power Belt,An item that allows Tyrogue to evolve into Hitmonchan. It seems to symbolise defense.
Power Bracer,Power Bracer,An item that allows Tyrogue to evolve into Hitmonlee. It seems to symbolise offense.
Power Herb,Power Herb,A single-use item to be held by a Pokemon. It allows the immediate use of a move that charges on the first turn.
Power Lens,Power Lens,A Pokemon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.
Power Plant Pass,Power Plant Pass,This pass serves as an ID card for gaining access to the power plant that lies along Route 3.
Power Weight,Power Weight,An item that allows Tyrogue to evolve into Hitmontop. It seems to symbolise balance.
PP Max,PP Max,It maximally raises the top PP of a selected move that has been learned by the target Pokemon.
PP Up,PP Up,It slightly raises the maximum PP of a selected move that has been learned by the target Pokemon.
Premier Ball,Premier Ball,A somewhat rare Poke Ball that has been specially made to commemorate an event of some sort.
Pretty Wing,Pretty Wing,Though this feather is beautiful, it's just a regular feather and has no effect on Pokemon.
Prism Scale,Prism Scale,A mysterious scale that evolves certain Pokemon. It shines in rainbow colors.
Prof's Letter,Prof's Letter,A letter intended for Prof. Blaze. It seems to have been written by an unknown Professor.
Protector,Protector,A protective item of some sort. It is extremely stiff and heavy. It is loved by a certain Pokemon.
Protein,Protein,A nutritious drink for Pokemon. It raises the base Attack stat of a single Pokemon.
Psychic Gem,Psychic Gem,Increases the power of a Psychic-type move only once.
Pure Incense,Pure Incense,An item to be held by a Pokemon. It helps keep wild Pokemon away if the holder is the first one in the party.
Qualot Berry,Qualot Berry,Using it on a Pokemon makes it more friendly, but it also lowers its base Defense stat.
Quick Ball,Quick Ball,A somewhat different Poke Ball that provides a better catch rate if it is used at the start of a wild encounter.
Quick Claw,Quick Claw,An item to be held by a Pokemon. A light, sharp claw that lets the bearer move first occasionally.
Quick Powder,Quick Powder,Increases Speed when held by Ditto.
Rabuta Berry,Rabuta Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Rare Bone,Rare Bone,A bone that is extremely valuable for Pokemon archeology. It can be sold for a high price to shops.
Rare Candy,Rare Candy,A candy that is packed with energy. It raises the level of a single Pokemon by one.
Rawst Berry,Rawst Berry,If held by a Pokemon, it recovers from a burn.
Razor Claw,Razor Claw,Increases critical-hit ratio.
Razor Fang,Razor Fang,An item to be held by a Pokemon. It may make foes and allies flinch when the holder inflicts damage.
Razz Berry,Razz Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Reaper Cloth,Reaper Cloth,A cloth imbued with horrifyingly strong spiritual energy. It is loved by a certain Pokemon.
Red Apricorn,Red Apricorn,A red Apricorn. It assails your nostrils.
Red Card,Red Card,A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle.
Red Flute,Red Flute,A toy flute made from red glass. A maniac will buy it for a high price.
Red Scarf,Red Scarf,Raises holder's Cool aspect in a Contest.
Red Shard,Red Shard,A small red shard. It appears to be from some sort of implement made long ago.
Relic Band,Relic Band,A bracelet made in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Copper,Relic Copper,A copper coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Crown,Relic Crown,A crown made in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Gold,Relic Gold,A gold coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Silver,Relic Silver,A silver coin used in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Statue,Relic Statue,A stone figure made in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Relic Vase,Relic Vase,A vase made in a civilization about 3,000 years ago. A maniac will buy it for a high price.
Repeat Ball,Repeat Ball,A somewhat different Poke Ball that works especially well on Pokemon species that were previously caught.
Repel,Repel,An item that prevents weak wild Pokemon from appearing for 100 steps after its use.
Reset Urge,Reset Urge,When used, it restores any stat changes of an ally Pokemon.
Resist Wing,Resist Wing,Increases Defense EVs by 1.
